subject	body	cluster_id
UPDATE - Reporting to Work Next Week	Many of you have asked whether you should come into the office next week, especially if there is no guarantee of being paid for time worked after today. We want to encourage you to come to work. We continue to consider every option available to us as a company; and unfortunately, restructuring through bankruptcy is one of those options. Your continued efforts during these trying times are critical to the company as we go through this decision making process. I still cannot say with certainty if or when we will file for bankruptcy. But you should be aware that, in general, the bankruptcy code provides protection for employee salaries and wages earned within 90 days of a petition filing to the extent of $4,650 per employee. I want you to know that if we file a bankruptcy petition, we intend to seek approval by the bankruptcy court to exercise that protection immediately and pay you for your time worked prior to any petition filing according to our regular payroll practices. Additionally, Enron would be obligated and will pay salaries and wages earned after a bankruptcy filing. For Enron, where our value is directly tied to our employees, making sure that we meet these obligations will be a high priority. We are continuing to evaluate the ongoing resource needs of the company for each potential option we might pursue. Of course, until we finalize those business decisions, we cannot make that determination. I know that this prolonged process is agonizing for you. I can only continue to assure you that we will notify you of your employment status as soon as we are able to do so. While terminated employees will tap into their own network of contacts as they look for new employment, we hope to do what we can to assist them. We will tap into the contacts we have as a company to aid terminated employees in their job search. We have already been in touch with several employers and many are interested in Enron alumni. We will share more information on these efforts soon. I appreciate your continued patience and cooperation. Ken	1
Change of Control Provisions	As many of you know, I have a provision in my employment contract which provides for a payment of $20 million per year for the remaining term of my contract in the event of a change of control of Enron. The merger with Dynegy, or a similar transaction with any other company, would trigger this provision on closing. Assuming the merger with Dynegy is closed within 6-9 months, as we expect, this provision would entitle me to total payments of slightly more than $60 million. Many CEOs have change of control provisions in their employment contracts and mine has been in place since 1989. But given the current circumstances facing the company and our employees, I have been giving a lot of thought these last few days to what to do about this payment. Initially, I thought I would use part of the funds for a foundation for our employees and take the remainder in stock and cash. However, after talking to a number of employees this afternoon, I have decided that the best course of action would be for me to waive my right to any of this payment. Therefore, at closing, I will receive no payments under this provision. I know this action does not remedy the uncertainty that you and your families face. But please know that I will continue to do everything in my power to serve the best interests of Enron's employees and shareholders. I am still very proud of what we have built at Enron, and I want to continue working with all of you to correct the problems and restore Enron to its rightful place in the energy industry. Thank you.	1
Dynegy Discussions	Enron and Dynegy each announced today that they are holding discussions about a possible merger of the two companies. As you know, Dynegy is a major player in the energy marketplace, and is not only a competitor, but also a counterparty of Enron. This is just one of several options that we are considering. Upon receipt of this announcement, the NYSE briefly suspended trading of both Enron and Dynegy. We have no additional information we can share at this time. We'll keep you updated as developments occur.	1
Daily Update	Here is an update on new developments that have occurred over the past few days. New Board Member & Committee Elected Today, the Enron Board of Directors elected William Powers, Jr., the dean of The University of Texas School of Law in Austin, Texas, to the Board. Bill currently holds the John Jeffers Research Chair in Law and the Hines H. Baker and Thelma Kelley Baker Chair in Law at The University of Texas School of Law, where he teaches tort, products liability, jurisprudence, legal process, civil procedure and contracts. He received his J.D. from Harvard Law School in 1973. Additionally, the Board established a Special Committee that will conduct an in-depth review of the transactions between Enron and entities connected to related parties. The Special Committee, to be chaired by Bill, comprises independent directors Frank Savage, CEO of Savage Holding LLC as chairman, Paulo Ferraz Pereira, executive vice president of Brazilian-owned investment bank Group Bonanza, and Herbert S. Winokur, Jr., chairman and CEO of Capricorn Holdings, Inc. The committee is authorized to take any actions it deems appropriate. The committee has retained William R. McLucas, a former head of the Division of Enforcement of the Securities and Exchange Commission (SEC), with the law firm of Wilmer, Cutler & Pickering as its counsel. Wilmer, Cutler & Pickering has retained Deloitte & Touche to provide independent accounting advice. SEC Changes Inquiry to Investigation We also reported today that the SEC has opened a formal investigation into related party transactions that have been the subject of media reports and were previously the subject of the SEC's formal inquiry. This is not unusual and we welcome this investigation and are confident that this matter will finally be put to rest. With so much publicity surrounding our company right now, I want to ask you to keep in mind that not all media reports are accurate or even based on factual information. We are committed to communicating updates to you every day by voice mail, e-mail or both, so that you know the factual status of our company's situation. We have created an Enron Updates Intranet site (<http://home.enron.com/updates/>) to keep you apprised of current events. Please check back frequently for information and new developments. I truly thank you for your continued hard work and support of our company.	1
Jeff McMahon Named CFO	Today we announced the appointment of Jeff McMahon as Enron's chief financial officer. In my continued discussions with the financial community yesterday and today, it became clear that this move was required to restore investor confidence. Jeff has unparalleled qualifications and a deep and thorough understanding of Enron. He is already on the job and hard at work on the issues before us. Andy Fastow will be on a leave of absence from the company. Jeff had been serving as chairman and CEO of Enron Industrial Markets. He joined Enron in 1994 and spent three years in the London office as chief financial officer for Enron's European operations. Upon returning to the U.S., Jeff was executive vice president of finance and treasurer for Enron Corp. In 2000, he was named president and chief operating officer of Enron Net Works. I know all of you are concerned about the continuing decline in our share price. I am too, and we are working very hard to turn it around. Appointing Jeff as CFO is one important step in that process. But most of the solution involves just continuing to do our jobs with excellence. The fundamentals of our business are strong, and I think the market will begin to see that as we continue to perform. Please join me in giving Jeff your full support, and thank you for all of your continued hard work.	1
Organizational Announcement	As we continue to address a number of issues facing Enron, it is critical that the company remain focused on attracting, motivating and retaining a diverse and talented workforce. We strongly believe that our workforce is world-class -- the best in any industry, so we will continue to develop and reward this tremendous talent base. Because the lasting strength of our company is determined by the strength of our workforce, we are elevating the role employee-focused functions play within Enron. We are pleased to announce that effective immediately Human Resources, Employee Responsibility, and Executive and Corporate Compensation will report directly to the Office of the Chairman. David Oxley, Vice President, will continue to oversee Enron's Global HR function. The lead HR representatives for the individual business units will report to David in addition to their respective Office of the Chairman. Besides managing Recruiting, Staffing, Training, Compensation and the Performance Evaluation Process, David will also add Payroll and Labor Relations to his list of responsibilities. Cindy Olson, Executive Vice President, will have responsibility for Employee Relations and Corporate Responsibility, which includes Social Responsibility, Community Relations, Diversity, Employee Relations, Redeployment, Alumni Relations, Employee Events and Programs, Benefits, Wellness, and Worklife. Mary Joyce, Vice President, will continue to have responsibility for Executive and Corporate Compensation in addition to Global Employee Information Management and Reporting and Analysis. David, Cindy and Mary will each report to the Office of the Chairman. A detailed organizational chart is attached. Please join me in congratulating David, Cindy and Mary on their new responsibilities. http://home.enron.com:84/messaging/hrorgchart18.ppt	0
David Porter	Group, David Porter will be moving to the Utility Risk Management group with Enron Energy Services beginning Tuesday October 23. Please join me in thanking David for his effort in the real-time group over the past year (especially the 24-hour long shift), and wishing him good luck in his new position.	0
Middle Market Group	Tim Belden and I are pleased to announce that Jim Buerkle, Chris Lackey and John Van Gelder are joining the Middle Market Group. The Middle Market Group will continue to focus on commodity marketing throughout the WSCC under the leadership of Stewart Rosman, Paul Choi and John Malowney. This group will report to me to enable closer coordination and integration with our Origination group and to ensure that Enron has complete and seamless coverage of the power market. Chris Foster will continue to lead our growing services business and report to Tim. Please join me in congratulating Jim, Chris and John on their new roles. Chris Calger	0
Natural Gas Origination	Our natural gas business continues to benefit from effective account management and resource allocation focused on identifying and responding to the needs of our varied customers. In order to keep our organization optimally structured and to facilitate additional growth, we are making the following changes: Producer/Wellhead Group The current mid-market, origination and wellhead pricing activity currently within the Central and Eastern Gas Regions will be consolidated with the Derivatives group under Fred Lagrasta. This will create a single business unit focused upon the needs of the producing industry within the Eastern U.S. The producer focus in the Western U.S. and Texas will remain unchanged reporting to Mark Whitt and Brian Redmond respectively. Strategic Asset Development Laura Luce will move from her role in the Central Region to lead an effort focused strictly on identifying and entering into long-term strategic arrangements within the Central and Eastern Regions. This initiative will focus on a limited number of selected markets that provide strategic opportunities for partnering in asset development, asset management and optimization. This effort will continue to work very closely with the regional leads. Central Origination and Mid-Market Frank Vickers will continue his current role in the Eastern Region and will assume the leadership role for Mid-Market and Origination activity in the Central Region. There will be no changes to the West and Texas Origination groups headed respectively by Barry Tycholiz and Brian Redmond. Please join us in congratulating Fred, Laura and Frank in their new roles. Louise & John	0
E-Tag 1.7 training	Good Morning, Last Tuesday I attended the OATI training on E-Tag 1.7 in Houston. Although this new tagging won't be implemented until March, we will have access to the Test site sometime in November or December. This new way of tagging is very different from what we have now, and each group that makes tags is going to have to allow time for practice. Also, because the format of the new tags is so different, the old templates will not work. New templates will need to be created. Please let me know if you want to have formal training sessions, and I will work up a series of them for January and February.	1
General Update	Jim and Rob: I hope you are both well and was really pleased to see that last week's merger negotiations reached a successful outcome.This must have required an incredible effort in the timescale and given everything else that is going on.I very much hope this will allow you to enjoy a more stable period after the events of the last few weeks.You both have many friends at Linklaters and we are all pulling for you at this time. I also thought you may like to have a brief overview of the main areas in which we are assisting at the moment.These are as follows: 1Merger:We are working with Robert Eickenroht on the UK/European anti-trust aspects.This kicked off with a conference call today.Greatly appreciate the instructions, Jim. 2Dabhol:We are continuing our role on Dabhol which is now primarily focused on the litigation side and a major commitment for a 2 partner team-Chris Walker is ,I believe, in Houston tomorrow to meet with Bruce Lundstrum and others.Input from the projects side continues (principally in relation to Sch 11,PPA) but is not likely to be extensive over the next month or so given the current emphasis in India. 3Enron Europe:We are in close contact with Mark and have a number of ongoing / new matters.In particular, we have a dedicated team advising Europe on its position and contingency planning for current circumstances-this team has been liaising with Mark Haedicke and the Weil Gotchal team.We are also assisting on some potential disposals in non core business areas.Our London secondee remains in place. 4Other:We have a number of ongoing matters ranging from SEDCO litigation through a bid for LNG purchases from Nigeria LNG.Given the understandable emphasis on cost control at this time, it may be that we should review these matters to determine whether you feel it appropriate to scale back legal spend in some areas? On the question of payment,we have invoices totalling more than ?5 million outstanding and this level of commitment ,of course, continues to grow in the light of our ongoing work.As mentioned on Friday, we do need to reduce this to a more manageable level ( we are currently speaking with Mark and Bruce, in particular, to find a way of achieving this) and your continuing support in this effort would be greatly appreciated. We really want to do all we can,at both a personal and professional level, to support Enron at this time-I am particularly conscious of the support and friendship you have given to me over the years.If there is anything else we can do, please do call me at any time.For convenience my nos. are: W:44 207 456 5912 M:44 7733 124030 H:44 1959 533292 Best Wishes Stuart	1
Enron/Dynegy Merger; Antitrust Issues	As you know, Enron has signed a merger agreement by which Dynegy will acquire Enron. We expect the transaction to close following shareholder and regulatory approvals and various conditions to closing. Even though Enron has entered into this agreement, U.S. and foreign antitrust laws require that Enron and Dynegy continue to operate independently of each other. In particular, to the extent that Enron and Dynegy are competitors in various businesses or markets, their respective activities must be undertaken at arm's length until the transaction has closed. Therefore, for antitrust purposes you should treat Dynegy as you would any other unaffiliated company notwithstanding the merger agreement. In addition, all information, documents and communications related to the merger between Enron and Dynegy should be coordinated through and approved by Mark Muller, Lance Schuler, Robert Eickenroht, Mark Haedicke, Rob Walls or Greg Whalley of Enron. It is absolutely critical that this procedure be maintained. To the extent that information is required to be disclosed to Dynegy under the merger agreement, then such disclosure should be approved by one of the foregoing individuals. If you have any questions concerning this notice, please contact Lance Schuler (713/853-5419), Robert Eickenroht (713/853-3155), Mark Haedicke (713/853-6544) or Rob Walls (713/646-6017). Thank you for your help in this matter.	1
Enron/Dynegy Merger; Antitrust Issues	As you know, Enron has signed a merger agreement by which Dynegy will acquire Enron. We expect the transaction to close following shareholder and regulatory approvals and various conditions to closing. Even though Enron has entered into this agreement, U.S. and foreign antitrust laws require that Enron and Dynegy continue to operate independently of each other. In particular, to the extent that Enron and Dynegy are competitors in various businesses or markets, their respective activities must be undertaken at arm's length until the transaction has closed. Therefore, for antitrust purposes you should treat Dynegy as you would any other unaffiliated company notwithstanding the merger agreement. In addition, all information, documents and communications related to the merger between Enron and Dynegy should be coordinated through and approved by Mark Muller, Lance Schuler, Robert Eickenroht, Mark Haedicke, Rob Walls or Greg Whalley of Enron. It is absolutely critical that this procedure be maintained. To the extent that information is required to be disclosed to Dynegy under the merger agreement, then such disclosure should be approved by one of the foregoing individuals. If you have any questions concerning this notice, please contact Lance Schuler (713/853-5419), Robert Eickenroht (713/853-3155), Mark Haedicke (713/853-6544) or Rob Walls (713/646-6017). Thank you for your help in this matter.	1
Ken Lay Resigns from Board	Ken Lay announced today that he has resigned from Enron's Board of Directors. His resignation is effective immediately. In a press release, Ken said, "I want to see Enron survive and successfully emerge from reorganization. Due to the multiple inquiries and investigations, some of which are focused on me personally, I believe that my involvement has become a distraction to achieving this goal." He added, "My concern is for current and former Enron employees and other stakeholders, and I feel that it is in their best interest for me to step down from the Board."	1
EWS Organizational Announcement	As you know, Enron Wholesale Services (EWS) has been reorganized under the leadership of CEO Jim Fallon. Rich DiMichele supports Jim as COO of EWS, while also continuing in his role as head of Enron Broadband Services (EBS). EWS businesses include: Enron North America, EBS, Enron Industrial Markets, Enron Global Markets, Enron Europe and Enron Canada. EWS' business focus remains on maximizing creditor value and determining which businesses and assets will be a part of Enron's reorganization plan. In addition to Rich, reporting to Jim are: ? Don Miller - ENA ? Gary Hickerson - EGM ? Rodney Malcolm - EIM ? Eric Shaw - Enron Europe ? Kyle Kitagawa - Enron Canada ? Lance Schuler - General Counsel ? Barry Pearce - Chief of Staff ? Dave Gorte - RAC ? Kent Castleman - Accounting ? Shanna Funkhouser - Human Resources Enron Wholesale Services	1
Northern Natural Gas	Yesterday, Enron settled a procedural dispute with Dynegy over Northern Natural Gas. Our settlement allows Dynegy to exercise its option to acquire the pipeline, dismisses their Texas lawsuit and extends Enron's right to repurchase until June 30. We reached this settlement as part of our efforts to bring Enron out of bankruptcy. While we would like to keep Northern Natural, we still have some 9,000 miles of safe, profitable interstate pipelines as a base to rebuild our core businesses. The settlement provides the best opportunity to resolve the pipeline issue quickly and pursue our $10 billion damage claim against Dynegy. It also allows us to avoid the very substantial costs and distractions from protracted litigation in state courts. We want to see a positive future for the employees working with Northern Natural Gas. Below is a copy of a message from Stan Horton further explaining this decision to the employees of Enron Transportation Services. Ken Dear ETS Colleague: On Thursday, Enron entered into a settlement over Dynegy's exercise of its option to acquire the Northern Natural Gas pipeline. The settlement allows Dynegy to exercise the option and assume interim control of the pipeline while Enron pursues its damage claim against Dynegy. In this respect, Enron Corp. has carefully weighed the substantial costs and turmoil that litigating this possession issue would create for the company and the employees of Northern Natural Gas. Consequently, Enron Corp. has decided not to contest interim possession and allow the transfer of Northern Natural Gas to Dynegy, while the larger issues affecting its future are resolved. The company has concluded that with this settlement, Enron should be able to resolve the issue more quickly, as well as avoid the legal cost burden and distractions to the business from protracted litigation in state court. For the Northern Natural Gas employees, I believe this decision should allow them to steer clear of the dispute and focus on the day-to-day satisfaction of running a valuable, successful business. Beginning immediately we will be working to achieve a smooth transition and to align the appropriate resources to assure continued safe, reliable and efficient operation of Northern Natural Gas. Over many years we have run high quality, cost conscious and profitable businesses in ETS. Keep up the good work! Stan	1
